"","City","AA","AS","AE","CA","NH","MR","OT"
"1","Athens",31324,4911.5,413.5,73581.5,85,5571,6806
"2","Atlanta",231203.5,17777.5,1197,179677.5,175,18709.5,10619
"3","Augusta",111417,3653,687.5,75319.5,408,8418,3684
"4","Baltimore",367129.5,17879,2291,173428,230,22702.5,19674.5
"5","Boston",144653.5,65628,2611.5,325567,310.5,47766.5,60083.5
"6","Chapel Hill",5751.5,8046.5,223.5,40696.5,18.5,3161,1699
"7","Chicago",844401.5,169875,23940,1099557.5,1050,184696.5,397472.5
"8","Dallas",301285,41425.5,11737.5,539117,584.5,121603.5,235344.5
"9","Dayton",58343,1587,465.5,69352,64.5,6576,3197.5
"10","Hartford",47281,3860,879.5,30333.5,72.5,10242,30246
"11","Los Angeles",350607,444801,47353,1623613,5768.5,346974,1026567.5
"12","Lubbock",22865,7491,2238.5,163504.5,194.5,20721.5,26342
"13","New York",2016077.5,1211766,71865,3299143,6010.5,606499,1278300.5
"14","Philadelphia",646150.5,114979,6604,604428.5,838,76985,114916.5
"15","San Diego",85107,227902,10209,706637.5,5795.5,133026,178490
"16","Seattle",49867.5,104941.5,5003,437246.5,2230,54353.5,19195.5
"17","Stonybrook",227,1352.5,10,11360,4.5,511,138.5
"18","Syracuse",44179,9212,1507,76247,55.5,10439,5255.5
