"","City","AE","AS","AA","NH","OT","MR","CA","Not Hispanic","HA","F","M"
"1","Athens",413.5,4911.5,31324,85,6806,5571,73581.5,109428.5,13264,63417,57594
"2","Atlanta",1197,17777.5,231203.5,175,10619,18709.5,179677.5,433457.5,25901.5,234904.5,225085.5
"3","Augusta",687.5,3653,111417,408,3684,8418,75319.5,193750,9828,103446,96728
"4","Baltimore",2291,17879,367129.5,230,19674.5,22702.5,173428,567391,35943.5,324011.5,287417
"5","Boston",2611.5,65628,144653.5,310.5,60083.5,47766.5,325567,529605.5,117015,335981,309986.5
"6","Chapel Hill",223.5,8046.5,5751.5,18.5,1699,3161,40696.5,30432,29164.5,31213.5,27332.5
"7","Chicago",23940,169875,844401.5,1050,397472.5,184696.5,1099557.5,1921803,799190,1390169.5,1311237
"8","Dallas",11737.5,41425.5,301285,584.5,235344.5,121603.5,539117,721856,529241.5,634237,628828.5
"9","Dayton",465.5,1587,58343,64.5,3197.5,6576,69352,133566,6019.5,73468,69558.5
"10","Hartford",879.5,3860,47281,72.5,30246,10242,30333.5,69164.5,53750,64273,59381.5
"11","Los Angeles",47353,444801,350607,5768.5,1026567.5,346974,1623613,2011277.5,1834406.5,1962191,1923020
"12","Lubbock",2238.5,7491,22865,194.5,26342,20721.5,163504.5,160772,82585,121629.5,118013
"13","New York",71865,1211766,2016077.5,6010.5,1278300.5,606499,3299143,6076448.5,2413213,4313356.5,3915655
"14","Philadelphia",6604,114979,646150.5,838,114916.5,76985,604428.5,1351957.5,212944,814900.5,728340
"15","San Diego",10209,227902,85107,5795.5,178490,133026,706637.5,953514,393653,667045.5,681627
"16","Seattle",5003,104941.5,49867.5,2230,19195.5,54353.5,437246.5,622391.5,50446,333105.5,335140
"17","Stony Brook",10,1352.5,227,4.5,138.5,511,11360,12889,714.5,6139.5,6582
"18","Syracuse",1507,9212,44179,55.5,5255.5,10439,76247,133064.5,13830.5,75061.5,68582
