"","City","AA","AS","NA","CA","PI","MR","OT"
"1","Athens, GA *",31660,4954,580,74925,86,8617,7849
"2","Atlanta, GA",235513,22367,1406,198240,218,29050,11921
"3","Augusta, GA**",114201,3975,690,70997,416,11606,4722
"4","Baltimore, MD",338478,21210,2312,163026,186,32450,28046
"5","Boston, MA",138870,76021,2824,318101,356,71201,68274
"6","Chapel Hill, NC",5973,9305,271,39752,23,4774,1862
"7","Chicago, IL",801195,192586,34543,986280,1087,296245,434452
"8","Dallas, TX",303577,48588,15376,470819,687,211474,253858
"9","Dayton, OH",55981,1968,514,65511,77,9026,4567
"10","Hartford, CT",46231,4283,982,23462,83,15188,30825
"11","Los Angeles, CA",336096,462643,66491,1359068,5960,518313,1150176
"12","Lubbock, TX",26083,9423,2779,152995,217,35660,29984
"13","New York, NY",1943645,1385144,86218,3000945,6874,887097,1494267
"14","Philadelphia, PA",630462,133553,6212,582636,932,110900,139102
"15","San Diego, CA",82265,247860,12722,643304,5683,199364,195734
"16","Seattle, WA",51419,125668,5197,451623,2109,77460,23539
"17","Stonybrook, NY",225,1672,9,10549,3,835,174
"18","Syracuse, NY",45588,10403,1408,71175,67,13405,6574
