Race,H/L,Sex
African-American,No,F
African-American,No,M
African-American,Yes,F
African-American,Yes,M
American Indian/Alaska Native,No,F
American Indian/Alaska Native,No,M
American Indian/Alaska Native,Yes,F
American Indian/Alaska Native,Yes,M
Asian,No,F
Asian,No,M
Asian,Yes,M
Caucasian,No,F
Caucasian,No,M
Caucasian,Yes,F
Caucasian,Yes,M
Native Hawaiian/Pacific Islander,No,F
Native Hawaiian/Pacific Islander,No,M
Native Hawaiian/Pacific Islander,Yes,F
Native Hawaiian/Pacific Islander,Yes,M
Other/Multiracial,No,F
Other/Multiracial,No,M
Other/Multiracial,Yes,F
Other/Multiracial,Yes,M
