"Race","Hispanic/Latino","Gender","HCS Sampling Trend","p-value"
"AA","No","F","Over","2.91e-07**"
"AA","No","M","Over","1.09e-13**"
"AA","Yes","F","Over","1"
"AA","Yes","M","Over","1"
"AE","Yes","F","Under","1"
"AE","Yes","M","Over","1"
"AS","No","F","Under","0.182"
"AS","No","M","Under","0.149"
"CA","No","F","Over","0.00791**"
"CA","No","M","Over","0.361"
"CA","Yes","F","Under","5.15e-13**"
"CA","Yes","M","Under","1.58e-13**"
"NH","No","F","Over","0.00124**"
"NH","No","M","Over","0.0926"
"OT/MR","No","F","Over","0.00115**"
"OT/MR","No","M","Over","0.027**"
"OT/MR","Yes","F","Under","0.00156**"
"OT/MR","Yes","M","Under","5.37e-07**"
