"Race","Hispanic/Latino","Gender","SZ Sampling Trend","p-value"
"AA","No","F","Over","1.25e-11**"
"AA","No","M","Over","8.05e-122**"
"AA","Yes","F","Over","0.901"
"AA","Yes","M","Over","0.000123**"
"AE","No","F","Under","1"
"AE","No","M","Over","0.0514"
"AE","Yes","M","Under","1"
"AS","No","F","Under","3.42e-26**"
"AS","No","M","Under","8.44e-07**"
"AS","Yes","M","Over","1"
"CA","No","F","Under","5.12e-23**"
"CA","No","M","Over","0.00317**"
"CA","Yes","F","Under","6.63e-28**"
"CA","Yes","M","Under","1.24e-08**"
"NH","No","F","Under","1"
"NH","No","M","Over","2.32e-05**"
"NH","Yes","F","Over","0.899"
"NH","Yes","M","Over","0.901"
"OT/MR","No","F","Over","0.000164**"
"OT/MR","No","M","Over","1.58e-13**"
"OT/MR","Yes","F","Under","8.36e-07**"
"OT/MR","Yes","M","Under","0.00794**"
