"Race","Hispanic/Latino","Gender","SZ Sampling Trend","p-value"
"AA","No","F","Over","0.000397**"
"AA","No","M","Over","7.6e-95**"
"AA","Yes","F","Over",">0.999"
"AA","Yes","M","Over","0.000842**"
"AE","No","F","Under",">0.999"
"AE","No","M","Over","0.0405**"
"AE","Yes","M","Under",">0.999"
"AS","No","F","Under","5.06e-27**"
"AS","No","M","Under","3.55e-07**"
"AS","Yes","M","Over",">0.999"
"CA","No","F","Under","7.35e-24**"
"CA","No","M","Over","0.00156**"
"CA","Yes","F","Under","8.88e-17**"
"CA","Yes","M","Under","0.00531**"
"NH","No","F","Under",">0.999"
"NH","No","M","Over","1.33e-06**"
"NH","Yes","F","Over","0.977"
"NH","Yes","M","Over","0.977"
"OT/MR","No","F","Over","0.00124**"
"OT/MR","No","M","Over","3.42e-13**"
"OT/MR","Yes","F","Under","2.01e-07**"
"OT/MR","Yes","M","Under","0.00195**"
