,cStudy,cHispanicorLatino,total_count,Proportion,cHispanicorLatino2
1,BSNIP1,No,852,0.916129032,No
2,BSNIP1,Yes,78,0.083870968,Yes
3,BSNIP2,,1,0.000491884,
4,BSNIP2,No,1746,0.858829316,No
5,BSNIP2,Unknown,14,0.006886375,
6,BSNIP2,Yes,272,0.133792425,Yes
7,COGS2,No,2154,0.869600323,No
8,COGS2,Yes,323,0.130399677,Yes
9,GPC,,17,0.000538571,
10,GPC,No,23786,0.753556154,No
11,GPC,Unknown,751,0.023792175,
12,GPC,Yes,7011,0.2221131,Yes
13,Total,,18,0.000486421,
14,Total,No,28538,0.771193082,No
15,Total,Unknown,765,0.020672882,
16,Total,Yes,7684,0.207647615,Yes
